question,option1,option2,option3,option4,correctAnswer,explanation
"What is the capital of France?",London,Paris,Berlin,Madrid,Paris,"Paris is the capital and most populous city of France, with an estimated population of 2,165,423 residents."
"Which planet is known as the Red Planet?",Venus,Mars,Jupiter,Saturn,Mars,"Mars is often called the Red Planet due to its reddish appearance caused by iron oxide on its surface."
"What is the largest ocean on Earth?",Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean,"The Pacific Ocean is the largest and deepest ocean, covering more than 63 million square miles."
"Who painted the Mona Lisa?",Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,Leonardo da Vinci,"Leonardo da Vinci painted the Mona Lisa between 1503 and 1519. It is one of the most famous paintings in the world."
"What is the chemical symbol for gold?",Go,Gd,Au,Ag,Au,"The chemical symbol Au comes from the Latin word for gold, 'aurum'."
"How many continents are there?",5,6,7,8,7,"There are seven continents: Africa, Antarctica, Asia, Australia, Europe, North America, and South America."
"What is the smallest prime number?",0,1,2,3,2,"2 is the smallest and only even prime number. A prime number is only divisible by 1 and itself."
"In what year did World War II end?",1943,1944,1945,1946,1945,"World War II ended in 1945. Germany surrendered in May, and Japan surrendered in September after the atomic bombings."
"What is the speed of light?",299792458 m/s,300000000 m/s,299000000 m/s,298000000 m/s,299792458 m/s,"The speed of light in vacuum is exactly 299,792,458 meters per second, approximately 300,000 km/s."
"Who wrote 'Romeo and Juliet'?",Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare,"William Shakespeare wrote Romeo and Juliet around 1594-1596. It is one of his most famous tragedies."
